telephone,country,url,name,address
Phone: (902) 422-0222,"Halifax, Canada",,2 Crows Brewing Co,1932 Brunswick Street 
Phone: (604) 620-4589,"Vancouver, Canada",,33 Acres Brewing Company,15 W 8th Ave 
,"Victoria, Canada",,4 Mile Brewing Co, 
Phone: (250) 479-3346,"Victoria, Canada",,4 Mile Brewing Company,199 Island Highway 
Phone: (905) 665-3042,"Whitby, Canada",,5 Paddles Brewing Company,1390 Hopkins Street  Unit 3
Phone: (306) 380-6814,"Saskatoon, Canada",,9 Mile Legacy Brewing,PO Box 903 Stn Main 
Phone: (418) 986-5005,"L`Etang-du-Nord, Canada",,A l`Abri de la Tempete,286 Chemin Coulombe 
Phone: 1-778-214-1743,"Kelowna, Canada",,Adventureland Ales, 
Phone: (418) 937-6484,"Etang-du-nord, Canada",,Ala Bride De La Tempete,286 Ch. Coulombe 
Phone: (902) 455-1474,"Halifax, Canada",,Alexander Keiths Brewery,1496 Lower Water St 
,"Halifax, Canada",,Alexander Keith's Pilot Brewery,1496 Lower Water Street 
Phone: (416) 238-6760,"Oakville, Canada",,All Or Nothing Brewhouse,1156 Speers Rd 
Phone: (780) 436-8922,"Edmonton, Canada",,Alley Kat Brewing Co,9929 60 Ave NW 
Phone: (780) 628-2305,"Edmonton, Canada",,Amber`s Brewing Co,9926 - 78 Avenue NW 
Phone: (604) 926-6636,"W Vancouver, Canada",,Ambleside Brewing Co,1531 Clyde Ave 
Phone: (416) 735-5752,"Toronto, Canada",,Amsterdam Brewing Co,45 Esandar Dr 
Phone: (604) 253-2400,"Vancouver, Canada",,Andina Brewing Company Inc.,1507 Powell Street 
,"New Westminster, Canada",,Another Beer Company Inc., 
Phone: (418) 841-2224,"Lac-Beauport, Canada",,Archibald Microbrasserie,1021 Blvd du Lac 
Phone: (613) 257-4423,"Ashton, Canada",,Ashton Brewing Company,113 Old Mill Road 
Phone: 1-778-433-6746,"Victoria, Canada",,Axe,2323 Millstream Ave 
Phone: (250) 493-8686,"Penticton, Canada",,Bad Tattoo Brewing,169 Estrabrook Ave 
Phone: (519) 733-6900,"Kingsville, Canada",,Banded Goose Brewing Company,31 Division Street South 
Phone: (403) 762-1003,"Banff, Canada",,Banff Ave Brewing Company,110 Banff Ave 2nd Floor Clocktower Village Mall
Phone: (416) 920-2434,"Toronto, Canada",,Bar Volo,"28 Dundonald St, Suite 1 "
Phone: (819) 322-2710,"Val-David, Canada",,Baril Roulant,1652 
Phone: (778) 414-2739,"Quesnel, Canada",,Barkerville Brewing Co.,185 Davie St 
Phone: (613) 476-7468,"Picton, Canada",,Barley Days Brewery,RR4 11369 Loyalist Pkwy 
Phone: (306) 949-1500,"Regina, Canada",,Barley Mill Brew Pub,6155 Rochdale Blvd 
Phone: (250) 493-8000,"Penticton, Canada",,"Barley Mill Brewpub, The",2460 Skaha Lake Road 
Phone: (250) 832-0999,"Salmon Arm, Canada",,Barley Station Brew Pub,20 Shuswap St. SE 
Phone: (250) 832-0999,"Salmon Arm, Canada",,Barley Station Brewpub,20 Shuswap Street SE 
Phone: 1-204-951-7354,"Winnipeg, Canada",,Barn Hammer Brewing Co,595 Wall St 
Phone: (902) 621-2086,"Breadalbane, Canada",,BarNone Brewery and Hop Farm,4248 Route 225  RR4 Rose Valley
Phone: (604) 313-9505,"Delta, Canada",,Barnside Brewing Co.,6545 60th Ave 
Phone: (705) 481-1701,"Barrie, Canada",,Barnstormer Brewing,384 Yonge Street Unit 3
Phone: (519) 676-1888,"Erieau, Canada",,Bayside Brewing Company, 
Phone: (780) 852-4111,"Jasper, Canada",,Bear Hill Brewing Company,624 Connaught Dr PO Box 458
Phone: (613) 678-2799,"Vankleek Hill, Canada",,Beau's All Natural Brewing Co,10 Terry Fox Dr 
Phone: (250) 995-2337,"Victoria, Canada",,Bedford Brewing,776 Fairview Rd 
Phone: (450) 447-5165,"Chambly, Canada",,Bedondaine & Bedons Ronds,"255, rue Ostiguy "
Phone: (819) 442-3839,"Amos, Canada",,Belgh Brasse,8 De La Brasserie 
,"Toronto, Canada",,Bellwood's Brewery,124 Ossington Ave 
,"Oakville, Canada",,Bench Brewing Company, 
Phone: 78051770008,"Yellowhead County, Canada",,Bench Creek Brewing,53527 Rge Rd 181A 
Phone: (438) 390-2350,"Montréal, Canada",,Benelux Brasserie Artisanale et Cafe,245 Rue Sherbrooke O 
Phone: (905) 681-2739,"Burlington, Canada",,Better Bitters Brewing Co,864 Drury Lane 
Phone: (613) 695-2991,"Otawa, Canada",,Beyond the Pale,5 Hamilton Ave North 
Phone: (613) 408-3362,"Ottawa, Canada",,Bicycle Craft Brewery,850 Industrial Ave 
Phone: (514) 933-7576,"Montreal, Canada",,Bierbrier Brewing Inc,1250 Rene-Levesque West Suite 2200 
Phone: (506) 575-1093,"Nackawic, Canada",,Big Axe Brewery,519 Otis Dr 
Phone: (604) 574-2739,"Surrey, Canada",,Big Ridge Brewing Co,5580 152 St 
Phone: (604) 574-2739,"Surrey, Canada",,Big Ridge Brewing Company,5580 152 St  
Phone: (613) 688-3336,"Ottawa, Canada",,Big Rig Brewery,2750A Iris Street 
Phone: (604) 271-2739,"Richmond, Canada",,Big River Brewing Co,"14200 Entertainment Way, #180 "
,"Calgary, Canada",,Big Rock Brewery Ltd,5555 76th Ave SE 
,"Kelowna, Canada",,Big Surf Beer Co,8860 Jim Bailey Cres 
Phone: (506) 214-3311,"Saint John, Canada",,Big Tide Brewing Company,47 Princess St 
Phone: (514) 788-7635,"Montreal, Canada",,Bistro Brasserie Les Soeurs Grises,32 Rue McGill 
Phone: (819) 682-1221,"Gatineau, Canada",,Bistro L'Autre Oeil,55 Rue Principale 
,"Swift Current, Canada",,Black Bridge Brewery Ltd,295 Alexander Drive 
Phone: (416) 736-1733,"Toronto, Canada",,Black Creek Historic Brewery,1000 Murray Ross Pkwy 
,"North Vancouver, Canada",,Black Kettle Brewing Co ,720 Copping St 
Phone: (416) 252-2739,"Toronto, Canada",,Black Oak Brewing Co,75 Horner Ave Unit #1 
Phone: (519) 814-7926,"Stratford, Canada",,Black Swan Brewing Company,144 Downie St 
Phone: +1-780-699-8862,"Edmonton, Canada",,Blind Enthusiasm Brewing Company, 
Phone: (403) 786-2337,"Lacombe, Canada",,Blindman Brewing,Bay F - 3413 53 Avenue 
,"St. Jacobs, Canada",,Block Three Brewing Company ,1430 King Street North  
Phone: (236) 420-0025,"Kelowna, Canada",,BNA Brewing Company,1250 Ellis St. 
Phone: (705) 243-7077,"Toronto, Canada",,Bobcaygeon Brewing Company,1 Fallingbrook Woods 
Phone: (604) 428-7457,"Vancouver, Canada",,Bomber Brewing Co.,1488 Adanac St 
,"Kelowna, Canada",,Bone Brewing Co ,4-8860 Jim Bailey Cres 
Phone: (306) 586-3553,"Regina, Canada",,Bonzzinis Brewpub,4634 Albert St 
Phone: (819) 542-1311,"Sherbrooke, Canada",,Boquebiere,"50, rue Wellington Nord "
Phone: (250) 851-2543,"Kamloops, Canada",,Bowen Island Brewing Co,965 McGill Pl 
,"Shelburne, Canada",,Boxing Rock Brewing Company,78 Ohio Rd 
Phone: (514) 849-7779,"Montreal, Canada",,Brasserie Artisanale & Bistro / Reservoir,9 DuLuth Est 
Phone: (450) 759-7482,"Joliette, Canada",,Brasserie Artisanale Albion,408 Boul Manseua 
Phone: (514) 508-1615,"Montreal, Canada",,Brasserie Artisanale La Succursale,318 Rue Mason 
Phone: 45081816039,"Sainte-Thérèse, Canada",,Brasserie Artisanale Le Saint Graal,32 Rue Turgeon
Phone: (819) 732-6519,"Amos, Canada",,Brasserie Belgh Brasse,8 rue de la Brasserie 
,"Montreal , Canada",,Brasserie Bierbrier,370 Rue Guy  G9
Phone: (514) 490-9555,"Montreal, Canada",,Brasserie Dieu Du Ciel,29 Laurier Ouest 
Phone: (450) 436-3438,"Saint Jerome, Canada",,Brasserie Dieu Du Ciel,259 rue de Villemure 
Phone: (450) 295-1500,"Dunham, Canada",,Brasserie Dunham,"3809 Principale, Local 104 "
Phone: (418) 614-0932,"Quebec, Canada",,Brasserie La Korrigane,380 Rue Dorchester 
Phone: (800) 945-1934,"St-Hyacinthe, Canada",,Brasserie Le Cardinal,5420 Martineau 
Phone: (450) 534-0066,"Bromont, Canada",,Brasserie Le Chaudron,92 Boulevard de Bromont 
Phone: (819) 537-9151,"Shawinigan, Canada",,Brasserie Le Trou Du Diable,412 Avenue Willow 
Phone: (514) 939-3060,"Montreal, Canada",,Brasserie McAuslan,5080 rue St Ambroise 
Phone: (514) 312-3035,"Boucherville, Canada",,Brasserie New Deal Brewery Co.,"1500 Nobel Street, Suite J "
Phone: (450) 826-4609,"Saint-Antoine-Abbe, Canada",,Brasserie Saint-Antoine-Abbe,"3299, Route 209 "
Phone: (450) 587-2122,"Contrecoeur, Canada",,Brasserie Tchèquebec,4245 Route Marie-Victorin 
Phone: (514) 908-2337,"Montreal, Canada",,Brasseries BVM du Canada,"6729, avenue de l`Esplanade "
Phone: (514) 788-4505,"Montreal, Canada",,Brasseurs De Montréal Inc,1485 Ottawa 
Phone: (514) 267-3369,"Saint-Hyacinthe, Canada",,Brasseurs Du Monde,3755 Picard 
Phone: (450) 247-2393,"Durham, Canada",,Brasseurs et Freres,3809 rue Principale 
Phone: (514) 274-4941,"Montreal, Canada",,Brasseurs GMT,5585 Rue De La Roche 
Phone: (450) 598-1363,"Saint-Eustache, Canada",,Brasseurs Illimites,385 Rue Du Parc 
Phone: (506) 733-1313,"Edmundston, Canada",,Brasseurs Petit Sault,45 De L'Eglise St 
Phone: (514) 274-4941,"Montreal, Canada",,Brasseurs RJ,5585 Rue de la Roche 
Phone: (438) 822-1197,"Montreal, Canada",,Brasseurs San Gluten,950-2350 Dickson 
,"Vancouver, Canada",,Brassneck Brewery ,2148 Main St.  
Phone: (514) 788-4500,"Montreal, Canada",,Brassuer De Montreal Brewing Company,1483 Ottawa 
Phone: (204) 453-7980,"Winnipeg, Canada",,Brazen Hall Brewery,800 Pembina Hwy 
Phone: (403) 258-2739,"Calgary, Canada",,Brew Brothers Brewing Co,PO Box 82015 RPO Scarboro 607 - 11th Avenue SW
Phone: (403) 861-3529,"Calgary, Canada",,Brewery in Planning - Calgary, 
Phone: 40039015448,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery in Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Calgary, Canada",,Brewery In Planning - Calgary, 
,"Kemptville, Canada",,Brewery in Planning - Kemptville, 
Phone: (647) 284-3956,"Mississauga, Canada",,Brewery in Planning - Mississauga, 
Phone: (613) 882-8648,"Ottawa, Canada",,Brewery in Planning - Ottawa, 
Phone: (613) 863-8798,"Ottawa, Canada",,Brewery In Planning - Ottawa,190 Colonnade Road 
