telephone,country,url,name,address
(902) 422-0222,"Halifax, Canada",http://www.2crowsbrewing.com,2 Crows Brewing Co,1932 Brunswick Street 
(604) 620-4589,"Vancouver, Canada",http://www.33acresbrewing.com,33 Acres Brewing Company,15 W 8th Ave 
,"Victoria, Canada",,4 Mile Brewing Co, 
(250) 479-3346,"Victoria, Canada",http://www.4milebrewingco.com,4 Mile Brewing Company,199 Island Highway 
(905) 665-3042,"Whitby, Canada",http://www.5paddlesbrewing.com,5 Paddles Brewing Company,1390 Hopkins Street  Unit 3
(306) 380-6814,"Saskatoon, Canada",http://www.9milelegacy.com,9 Mile Legacy Brewing,PO Box 903 Stn Main 
(418) 986-5005,"L`Etang-du-Nord, Canada",http://www.alabridelatempete.com,A l`Abri de la Tempete,286 Chemin Coulombe 
1-778-214-1743,"Kelowna, Canada",,Adventureland Ales, 
(418) 937-6484,"Etang-du-nord, Canada",,Ala Bride De La Tempete,286 Ch. Coulombe 
(902) 455-1474,"Halifax, Canada",http://www.keiths.ca,Alexander Keiths Brewery,1496 Lower Water St 
,"Halifax, Canada",,Alexander Keith's Pilot Brewery,1496 Lower Water Street 
(416) 238-6760,"Oakville, Canada",http://www.allornothing.beer,All Or Nothing Brewhouse,1156 Speers Rd 
(780) 436-8922,"Edmonton, Canada",http://www.alleykatbeer.com,Alley Kat Brewing Co,9929 60 Ave NW 
(780) 628-2305,"Edmonton, Canada",http://www.ambersbrewing.com,Amber`s Brewing Co,9926 - 78 Avenue NW 
(604) 926-6636,"W Vancouver, Canada",http://www.amblesidebrewing.com/,Ambleside Brewing Co,1531 Clyde Ave 
(416) 735-5752,"Toronto, Canada",http://www.amsterdambeer.com,Amsterdam Brewing Co,45 Esandar Dr 
(604) 253-2400,"Vancouver, Canada",http://www.andinabrewing.ca,Andina Brewing Company Inc.,1507 Powell Street 
,"New Westminster, Canada",,Another Beer Company Inc., 
(418) 841-2224,"Lac-Beauport, Canada",,Archibald Microbrasserie,1021 Blvd du Lac 
(613) 257-4423,"Ashton, Canada",http://www.ashtonbrewpub.ca,Ashton Brewing Company,113 Old Mill Road 
1-778-433-6746,"Victoria, Canada",http://www.axeandbarrel.com/,Axe,2323 Millstream Ave 
(250) 493-8686,"Penticton, Canada",,Bad Tattoo Brewing,169 Estrabrook Ave 
(519) 733-6900,"Kingsville, Canada",http://www.jacksgastropub.com,Banded Goose Brewing Company,31 Division Street South 
(403) 762-1003,"Banff, Canada",http://www.banffavebrewingco.ca,Banff Ave Brewing Company,110 Banff Ave 2nd Floor Clocktower Village Mall
(416) 920-2434,"Toronto, Canada",http://www.barvolo.com,Bar Volo,"28 Dundonald St, Suite 1 "
(819) 322-2710,"Val-David, Canada",http://barilroulant.com/,Baril Roulant,1652 
(778) 414-2739,"Quesnel, Canada",,Barkerville Brewing Co.,185 Davie St 
(613) 476-7468,"Picton, Canada",,Barley Days Brewery,RR4 11369 Loyalist Pkwy 
(306) 949-1500,"Regina, Canada",,Barley Mill Brew Pub,6155 Rochdale Blvd 
(250) 493-8000,"Penticton, Canada",http://www.barleymillpub.com,"Barley Mill Brewpub, The",2460 Skaha Lake Road 
(250) 832-0999,"Salmon Arm, Canada",http://www.barleystation.com,Barley Station Brew Pub,20 Shuswap St. SE 
(250) 832-0999,"Salmon Arm, Canada",http://www.barleystation.com,Barley Station Brewpub,20 Shuswap Street SE 
