"DATE","TOURNAMENT","LOCATION","COURSE","PURSE","NETWORK","CHAMPION","PROFILE"
"Jan 19-21","Mitsubishi Electric Championship at Hualalai","Kailua-Kona, Hawaii","Hualalai Golf Course","$1,800,000","GOLF","Bernhard Langer","http://www.cbssports.com/golf/leaderboard/champions-tour/1186119"
"Feb 10-12","Allianz Championship","Boca Raton, Florida","Broken Sound - The Old Course","$1,750,000","GOLF","Scott McCarron","http://www.cbssports.com/golf/leaderboard/champions-tour/430088"
"Feb 17-19","Chubb Classic","Naples, Florida","TwinEagles Golf Club - Talon Course","$1,600,000","GOLF","Fred Couples","http://www.cbssports.com/golf/leaderboard/champions-tour/483492"
"Mar 17-19","Tucson Conquistadores Classic","Tucson, Arizona","Omni Tucson National - Catalina Course","$1,700,000","","Tom Lehman","http://www.cbssports.com/golf/leaderboard/champions-tour/2164739"
"Mar 31-Apr 2","Mississippi Gulf Resort Classic","Saucier, Mississippi","Fallen Oak","$1,600,000","","Miguel Angel Jimenez","http://www.cbssports.com/golf/leaderboard/champions-tour/1727364"
"Apr 14-16","Mitsubishi Electric Classic","Duluth, Georgia","TPC Sugarloaf","$1,800,000","","Stephen Ames","http://www.cbssports.com/golf/leaderboard/champions-tour/2032794"
"Apr 22-23","Bass Pro Shops Legends of Golf at Big Cedar Lodge","Ridgedale, Missouri","Top of the Rock, Buffalo Ridge - Spring Course","$2,400,000","GOLF/CBS","Carlos Franco","http://www.cbssports.com/golf/leaderboard/champions-tour/492423"
"May 5-7","Insperity Invitational","The Woodlands, Texas","The Woodlands CC - Tournament Course","$2,150,000","GOLF","John Daly","http://www.cbssports.com/golf/leaderboard/champions-tour/1186145"
"May 18-21","Regions Tradition","Birmingham, Alabama","Greystone GC - Founders Course","$2,300,000","GOLF","Bernhard Langer","http://www.cbssports.com/golf/leaderboard/champions-tour/1186129"
"May 25-28","KitchenAid Senior PGA Championship","Sterling, Virginia","Trump National Golf Club, Washington D.C. - Championship Course","$2,800,000","NBC","Bernhard Langer",""
"Jun 9-11","Principal Charity Classic","Des Moines, Iowa","Wakonda Club","$1,750,000","GOLF","Brandt Jobe","http://www.cbssports.com/golf/leaderboard/champions-tour/1186132"
"Jun 23-25","American Family Insurance Championship","Verona, Wisconsin","University Ridge Golf Course","$2,000,000","","Fred Couples","http://www.cbssports.com/golf/leaderboard/champions-tour/2214970"
"Jun 29-Jul 2","U.S. Senior Open Championship","Peabody, Massachusetts","Salem Country Club","$4,000,000","NBC","Kenny Perry",""
"Jul 13-16","Constellation SENIOR PLAYERS Championship","Owings Mills, Maryland","Caves Valley Golf Club","$2,800,000","GOLF/NBC","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186144"
"Jul 27-30","The Senior Open Championship presented by Rolex","Porthcawl, Wales","Royal Porthcawl Golf Club","$1,750,000","TNT","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186137"
"Aug 4-6","3M Championship","Blaine, Minnesota","TPC Twin Cities","$1,750,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/404474"
"Aug 18-20","DICK'S Sporting Goods Open","Endicott, New York","En-Joie Golf Course","$2,000,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186136"
"Aug 25-27","Boeing Classic","Snoqualmie, Washington","TPC Snoqualmie Ridge","$2,100,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186140"
"Sep 1-3","Shaw Charity Classic","Calgary, Alberta","Canyon Meadows Golf & Country Club","$2,350,000","","","http://www.cbssports.com/golf/leaderboard/champions-tour/2032798"
"Sep 8-10","JAPAN AIRLINES Championship","Narita, Japan","Narita Golf Club","$2,500,000","","","http://www.cbssports.com/golf/leaderboard/champions-tour/2498882"
"Sep 15-17","Pacific Links Bear Mountain Championship","Victoria, British Columbia","Bear Mountain Golf Course","$2,500,000","","","http://www.cbssports.com/golf/leaderboard/champions-tour/1981919"
"Sep 22-24","PURE Insurance Championship","Pebble Beach, California","Pebble Beach, Poppy Hills","$2,000,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186141"
"Oct 13-15","SAS Championship","Cary, North Carolina","Prestonwood CC - Highlands Course","$2,100,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/1186143"
"Oct 20-22","Dominion Charity Classic","Richmond, Virginia","The Country Club of Virginia","$2,000,000","","","http://www.cbssports.com/golf/leaderboard/champions-tour/2214974"
"Oct 27-29","PowerShares QQQ Championship","Thousand Oaks, California","Sherwood Country Club","$2,000,000","","","http://www.cbssports.com/golf/leaderboard/champions-tour/2214972"
"Nov 10-12","Charles Schwab Cup Championship","Phoenix, Arizona","Phoenix Country Club","$2,500,000","GOLF","","http://www.cbssports.com/golf/leaderboard/champions-tour/437164"
