"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","POINTS","PROFILE"
"1","Dustin Johnson","USA","3","6","8","2,270","http://www.cbssports.com/golf/players/playerpage/1232149/dustin-johnson"
"2","Hideki Matsuyama","JPN","2","5","8","2,145","http://www.cbssports.com/golf/players/playerpage/1793873/hideki-matsuyama"
"3","Justin Thomas","USA","3","8","10","2,060","http://www.cbssports.com/golf/players/playerpage/1699702/justin-thomas"
"4","Jordan Spieth","USA","2","7","11","1,979","http://www.cbssports.com/golf/players/playerpage/1750636/jordan-spieth"
"5","Jon Rahm","ESP","1","7","10","1,708","http://www.cbssports.com/golf/players/playerpage/2241778/jon-rahm"
"6","Rickie Fowler","USA","1","7","10","1,592","http://www.cbssports.com/golf/players/playerpage/1619354/rickie-fowler"
"7","Brooks Koepka","USA","1","5","7","1,534","http://www.cbssports.com/golf/players/playerpage/1988936/brooks-koepka"
"8","Kevin Kisner","USA","1","6","10","1,458","http://www.cbssports.com/golf/players/playerpage/1196424/kevin-kisner"
"9","Daniel Berger","USA","1","5","7","1,450","http://www.cbssports.com/golf/players/playerpage/2067161/daniel-berger"
"10","Pat Perez","USA","1","5","11","1,426","http://www.cbssports.com/golf/players/playerpage/285342/pat-perez"
"11","Brian Harman","USA","1","6","11","1,420","http://www.cbssports.com/golf/players/playerpage/485591/brian-harman"
"12","Adam Hadwin","CAN","1","4","7","1,246","http://www.cbssports.com/golf/players/playerpage/1839646/adam-hadwin"
"13","Brendan Steele","USA","1","4","9","1,186","http://www.cbssports.com/golf/players/playerpage/1113562/brendan-steele"
"14","Kyle Stanley","USA","1","5","9","1,183","http://www.cbssports.com/golf/players/playerpage/1207765/kyle-stanley"
"15","Marc Leishman","AUS","1","4","11","1,156","http://www.cbssports.com/golf/players/playerpage/468276/marc-leishman"
"16","Billy Horschel","USA","1","4","6","1,051","http://www.cbssports.com/golf/players/playerpage/1111909/billy-horschel"
"17","Sergio Garcia","ESP","1","2","8","1,049","http://www.cbssports.com/golf/players/playerpage/238069/sergio-garcia"
"18","Charles Howell III","USA","0","5","9","1,047","http://www.cbssports.com/golf/players/playerpage/285321/charles-howell-iii"
"19","Russell Henley","USA","1","3","8","999","http://www.cbssports.com/golf/players/playerpage/1746758/russell-henley"
"20","Jason Dufner","USA","1","2","10","998","http://www.cbssports.com/golf/players/playerpage/460241/jason-dufner"
"21","Justin Rose","ENG","0","4","6","984","http://www.cbssports.com/golf/players/playerpage/399341/justin-rose"
"22","Charley Hoffman","USA","0","5","10","924","http://www.cbssports.com/golf/players/playerpage/238121/charley-hoffman"
"23","Mackenzie Hughes","CAN","1","2","7","913","http://www.cbssports.com/golf/players/playerpage/1998149/mackenzie-hughes"
"24","Paul Casey","ENG","0","5","11","904","http://www.cbssports.com/golf/players/playerpage/399360/paul-casey"
"25","Bill Haas","USA","0","3","11","900","http://www.cbssports.com/golf/players/playerpage/464970/bill-haas"
"26","Wesley Bryan","USA","1","4","4","870","http://www.cbssports.com/golf/players/playerpage/2234683/wesley-bryan"
"27","Gary Woodland","USA","0","4","5","862","http://www.cbssports.com/golf/players/playerpage/1279672/gary-woodland"
"28","Kevin Chappell","USA","1","3","4","851","http://www.cbssports.com/golf/players/playerpage/1626409/kevin-chappell"
"29","Si Woo Kim","KOR","1","2","4","832","http://www.cbssports.com/golf/players/playerpage/2041460/si-woo-kim"
"30","Hudson Swafford","USA","1","3","4","823","http://www.cbssports.com/golf/players/playerpage/1228124/hudson-swafford"
"31","Tony Finau","USA","0","4","8","795","http://www.cbssports.com/golf/players/playerpage/1128992/tony-finau"
"32","Matt Kuchar","USA","0","4","11","781","http://www.cbssports.com/golf/players/playerpage/285325/matt-kuchar"
"33","Webb Simpson","USA","0","3","7","775","http://www.cbssports.com/golf/players/playerpage/1098591/webb-simpson"
"34","Sung Kang","KOR","0","3","8","775","http://www.cbssports.com/golf/players/playerpage/520991/sung-kang"
"35","Cameron Smith","AUS","1","3","4","762","http://www.cbssports.com/golf/players/playerpage/2075023/cameron-smith"
