"DATE","TOURNAMENT","LOCATION","COURSE","PURSE","NETWORK","CHAMPION","PROFILE"
"Dec 1-4","Alfred Dunhill Championship","Malelane, South Africa","Leopard Creek Country Club","$1,200,000","GOLF","Brandon Stone","http://www.cbssports.com/golf/leaderboard/european-tour/1195516"
"Dec 1-4","Australian PGA Championship","Benowa, Queensland","RACV Royal Pines Resort - Championship Course","$1,067,867","","Harold Varner III","http://www.cbssports.com/golf/leaderboard/european-tour/2210463"
"Dec 8-11","UBS Hong Kong Open","Fanling, Hong Kong","Hong Kong Golf Club","$1,864,080","GOLF","Sam Brazel","http://www.cbssports.com/golf/leaderboard/european-tour/1195513"
"Jan 12-15","BMW SA Open hosted by City of Ekurhuleni","Johannesburg, South Africa","Glendower","$1,030,920","GOLF","Graeme Storm","http://www.cbssports.com/golf/leaderboard/european-tour/1195517"
"Jan 19-22","Abu Dhabi HSBC Championship","Abu Dhabi, United Arab Emirates","Abu Dhabi GC","$2,534,381","GOLF","Tommy Fleetwood","http://www.cbssports.com/golf/leaderboard/european-tour/1195519"
"Jan 26-29","Commercial Bank Qatar Masters","Doha, Qatar","Doha Golf Club","$2,337,947","GOLF","Jeunghun Wang","http://www.cbssports.com/golf/leaderboard/european-tour/1195520"
"Feb 2-5","Omega Dubai Desert Classic","Dubai, United Arab Emirates","Emirates Golf Club - Majlis Course","$2,442,083","GOLF","Sergio Garcia","http://www.cbssports.com/golf/leaderboard/european-tour/1195521"
"Feb 9-12","Maybank Championship","Kuala Lumpur, Malaysia","Saujana Golf Club - Palm Course","$2,759,788","GOLF","Fabrizio Zanotti","http://www.cbssports.com/golf/leaderboard/european-tour/1195522"
"Feb 16-19","ISPS HANDA World Super 6 Perth","Karrinyup, Australia","Lake Karrinyup Country Club","$1,251,658","","Brett Rumford","http://www.cbssports.com/golf/leaderboard/european-tour/1928679"
"Feb 23-26","Joburg Open","Johannesburg, South Africa","Royal Johannesburg & Kensington Golf Club - East Course, Royal Johannesburg & Kensington Golf Club - West Course","$1,221,087","GOLF","Darren Fichardt","http://www.cbssports.com/golf/leaderboard/european-tour/1195518"
"Mar 2-5","Tshwane Open","Pretoria, South Africa","Pretoria Country Club","$1,218,904","","Dean Burmester","http://www.cbssports.com/golf/leaderboard/european-tour/2029207"
"Mar 2-5","World Golf Championships-Mexico Championship","Naucalpan de Juarez, Mexico","Club de Golf Chapultepec","$9,750,000","GOLF/NBC","Dustin Johnson","http://www.cbssports.com/golf/leaderboard/european-tour/1186082"
"Mar 9-12","Hero Indian Open","New Delhi, India","DLF Golf & Country Club - The Gary Player Course","$1,648,810","","S.S.P. Chawrasia","http://www.cbssports.com/golf/leaderboard/european-tour/2160647"
"Mar 22-26","World Golf Championships-Dell Technologies Match Play","Austin, Texas","Austin Country Club","$9,750,000","GOLF/NBC","Dustin Johnson","http://www.cbssports.com/golf/leaderboard/european-tour/1186078"
"Apr 6-9","The Masters","Augusta, Georgia","Augusta National","$11,000,000","ESPN/CBS","Sergio Garcia","http://www.cbssports.com/golf/leaderboard/european-tour/292758"
"Apr 13-16","Trophee Hassan II","Rabat, Morocco","Royal Golf Dar Es-Salam - Red Course","$2,500,000","","Edoardo Molinari","http://www.cbssports.com/golf/leaderboard/european-tour/1727372"
"Apr 20-23","Shenzhen International","Shenzhen, China","Genzon Golf Club","$2,629,967","","Bernd Wiesberger","http://www.cbssports.com/golf/leaderboard/european-tour/2160233"
"Apr 27-30","Volvo China Open","Beijing, China","Topwin Golf & Country Club","$2,668,053","GOLF","Alexander Levy","http://www.cbssports.com/golf/leaderboard/european-tour/1195529"
"May 6-7","GolfSixes","Hemel Hempstead, England","Centurion Club","$1,000,000","","","http://www.cbssports.com/golf/leaderboard/european-tour/2697640"
"May 11-14","Open de Portugal at Morgado Golf Resort","Portimao, Portugal","Morgado Golf & Country Club","$500,000","GOLF","Matt Wallace","http://www.cbssports.com/golf/leaderboard/european-tour/1195528"
"May 18-21","The Rocco Forte Open - Verdura, Sicily","Sciacca, Italy","Verdura Golf & Spa Resort","$1,000,000","","Alvaro Quiros","http://www.cbssports.com/golf/leaderboard/european-tour/1787746"
"May 25-28","BMW PGA Championship","Surrey, England","Wentworth Club - West Course","$6,213,972","GOLF","Alex Noren","http://www.cbssports.com/golf/leaderboard/european-tour/1195534"
"Jun 1-4","Nordea Masters","Malmo, Sweden","Barseback Golf & Country Club","$1,500,000","GOLF","Renato Paratore","http://www.cbssports.com/golf/leaderboard/european-tour/1195544"
