"DATE","TOURNAMENT","LOCATION","COURSE","PURSE","NETWORK","CHAMPION","PROFILE"
"Jan 26-29","Pure Silk Bahamas LPGA Classic","Paradise Island, Bahamas","Ocean Club Golf Course","$1,400,000","","Brittany Lincicome","http://www.cbssports.com/golf/leaderboard/lpga-tour/2038829"
"Feb 16-19","ISPS Handa Women's Australian Open","Seaton, South Australia","The Royal Adelaide Golf Club","$1,300,000","","Ha Na Jang","http://www.cbssports.com/golf/leaderboard/lpga-tour/1935246"
"Feb 23-26","Honda LPGA Thailand","Chonburi, Thailand","Siam CC - Pattaya Old Course","$1,600,000","","Amy Yang","http://www.cbssports.com/golf/leaderboard/lpga-tour/1195509"
"Mar 2-5","HSBC Women's Champions","Sentosa, Singapore","Sentosa Golf Club - Tanjong Course","$1,500,000","","Inbee Park","http://www.cbssports.com/golf/leaderboard/lpga-tour/1403501"
"Mar 16-19","Bank of Hope Founders Cup","Phoenix, Arizona","Wildfire Golf Club","$1,500,000","","Anna Nordqvist","http://www.cbssports.com/golf/leaderboard/lpga-tour/1793423"
"Mar 23-26","Kia Classic","Carlsbad, California","Aviara Golf Club","$1,800,000","GOLF","Mirim Lee","http://www.cbssports.com/golf/leaderboard/lpga-tour/1727380"
"Mar 30-Apr 2","ANA Inspiration","Rancho Mirage, California","Dinah Shore Tournament Course","$2,700,000","ESP2/CBS","So Yeon Ryu","http://www.cbssports.com/golf/leaderboard/lpga-tour/548975"
"Apr 12-15","LOTTE Championship Presented by HERSHEY","Kapolei, Hawaii","Ko Olina Golf Club","$2,000,000","","Cristie Kerr","http://www.cbssports.com/golf/leaderboard/lpga-tour/1945490"
"Apr 27-30","Volunteers of America Texas Shootout Presented by JTBC","Irving, Texas","Las Colinas Country Club","$1,300,000","","Haru Nomura","http://www.cbssports.com/golf/leaderboard/lpga-tour/2038827"
"May 4-7","Citibanamex Lorena Ochoa Match Play presented by Aeromexico and Delta","Ciudad de Mexico, Mexico","Club de Golf Mexico","$1,200,000","","Sei Young Kim","http://www.cbssports.com/golf/leaderboard/lpga-tour/1403506"
"May 18-21","Kingsmill Championship Presented by JTBC","Williamsburg, Virginia","Kingsmill Resort - River Course","$1,300,000","","Lexi Thompson","http://www.cbssports.com/golf/leaderboard/lpga-tour/1935250"
"May 25-28","LPGA Volvik Championship","Ann Arbor, Michigan","Travis Pointe Country Club","$1,300,000","","Shanshan Feng","http://www.cbssports.com/golf/leaderboard/lpga-tour/2210853"
"Jun 2-4","ShopRite LPGA Classic Presented by Acer","Galloway, New Jersey","Stockton Seaview Hotel and Golf Club - Bay Course","$1,500,000","","In-Kyung Kim","http://www.cbssports.com/golf/leaderboard/lpga-tour/1727382"
"Jun 8-11","Manulife LPGA Classic","Cambridge, Ontario","Whistle Bear Golf Club","$1,700,000","","Ariya Jutanugarn","http://www.cbssports.com/golf/leaderboard/lpga-tour/1935248"
