"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","AMOUNT","PROFILE"
"1","Dustin Johnson","USA","3","6","8","$6,355,725","http://www.cbssports.com/golf/players/playerpage/1232149/dustin-johnson"
"2","Hideki Matsuyama","JPN","2","5","8","$5,945,990","http://www.cbssports.com/golf/players/playerpage/1793873/hideki-matsuyama"
"3","Justin Thomas","USA","3","8","10","$5,131,179","http://www.cbssports.com/golf/players/playerpage/1699702/justin-thomas"
"4","Jordan Spieth","USA","2","7","11","$4,948,145","http://www.cbssports.com/golf/players/playerpage/1750636/jordan-spieth"
"5","Jon Rahm","ESP","1","7","10","$4,491,815","http://www.cbssports.com/golf/players/playerpage/2241778/jon-rahm"
"6","Brooks Koepka","USA","1","5","7","$4,464,771","http://www.cbssports.com/golf/players/playerpage/1988936/brooks-koepka"
"7","Rickie Fowler","USA","1","7","10","$4,246,972","http://www.cbssports.com/golf/players/playerpage/1619354/rickie-fowler"
"8","Brian Harman","USA","1","6","11","$3,834,258","http://www.cbssports.com/golf/players/playerpage/485591/brian-harman"
"9","Kevin Kisner","USA","1","6","10","$3,744,106","http://www.cbssports.com/golf/players/playerpage/1196424/kevin-kisner"
"10","Daniel Berger","USA","1","5","7","$3,629,134","http://www.cbssports.com/golf/players/playerpage/2067161/daniel-berger"
"11","Pat Perez","USA","1","5","11","$3,582,575","http://www.cbssports.com/golf/players/playerpage/285342/pat-perez"
"12","Marc Leishman","AUS","1","4","11","$3,040,141","http://www.cbssports.com/golf/players/playerpage/468276/marc-leishman"
"13","Kyle Stanley","USA","1","5","9","$3,000,213","http://www.cbssports.com/golf/players/playerpage/1207765/kyle-stanley"
"14","Sergio Garcia","ESP","1","2","8","$2,975,896","http://www.cbssports.com/golf/players/playerpage/238069/sergio-garcia"
"15","Adam Hadwin","CAN","1","4","7","$2,834,762","http://www.cbssports.com/golf/players/playerpage/1839646/adam-hadwin"
"16","Brendan Steele","USA","1","4","9","$2,776,620","http://www.cbssports.com/golf/players/playerpage/1113562/brendan-steele"
"17","Justin Rose","ENG","0","4","6","$2,751,715","http://www.cbssports.com/golf/players/playerpage/399341/justin-rose"
"18","Jason Dufner","USA","1","2","10","$2,701,474","http://www.cbssports.com/golf/players/playerpage/460241/jason-dufner"
"19","Billy Horschel","USA","1","4","6","$2,596,641","http://www.cbssports.com/golf/players/playerpage/1111909/billy-horschel"
"20","Si Woo Kim","KOR","1","2","4","$2,550,156","http://www.cbssports.com/golf/players/playerpage/2041460/si-woo-kim"
"21","Charles Howell III","USA","0","5","9","$2,462,971","http://www.cbssports.com/golf/players/playerpage/285321/charles-howell-iii"
"22","Bill Haas","USA","0","3","11","$2,461,566","http://www.cbssports.com/golf/players/playerpage/464970/bill-haas"
