"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","AVG_PTS","PROFILE"
"1","Dustin Johnson","USA","3","6","8","12.414","http://www.cbssports.com/golf/players/playerpage/1232149/dustin-johnson"
"2","Hideki Matsuyama","JPN","2","5","8","8.025","http://www.cbssports.com/golf/players/playerpage/1793873/hideki-matsuyama"
"3","Jordan Spieth","USA","2","7","11","7.601","http://www.cbssports.com/golf/players/playerpage/1750636/jordan-spieth"
"4","Rory McIlroy","NIR","0","4","5","7.573","http://www.cbssports.com/golf/players/playerpage/554014/rory-mcilroy"
"5","Sergio Garcia","ESP","1","2","8","7.275","http://www.cbssports.com/golf/players/playerpage/238069/sergio-garcia"
"6","Jason Day","AUS","0","2","6","7.077","http://www.cbssports.com/golf/players/playerpage/533501/jason-day"
"7","Henrik Stenson","SWE","0","2","3","6.738","http://www.cbssports.com/golf/players/playerpage/474782/henrik-stenson"
"8","Alex Noren","SWE","0","2","3","6.328","http://www.cbssports.com/golf/players/playerpage/471061/alex-noren"
"9","Rickie Fowler","USA","1","7","10","5.853","http://www.cbssports.com/golf/players/playerpage/1619354/rickie-fowler"
"10","Brooks Koepka","USA","1","5","7","5.538","http://www.cbssports.com/golf/players/playerpage/1988936/brooks-koepka"
"11","Jon Rahm","ESP","1","7","10","5.435","http://www.cbssports.com/golf/players/playerpage/2241778/jon-rahm"
"12","Justin Thomas","USA","3","8","10","5.165","http://www.cbssports.com/golf/players/playerpage/1699702/justin-thomas"
"13","Justin Rose","ENG","0","4","6","5.069","http://www.cbssports.com/golf/players/playerpage/399341/justin-rose"
"14","Adam Scott","AUS","0","4","7","4.865","http://www.cbssports.com/golf/players/playerpage/399342/adam-scott"
"15","Tommy Fleetwood","ENG","0","3","3","4.709","http://www.cbssports.com/golf/players/playerpage/1639560/tommy-fleetwood"
"16","Paul Casey","ENG","0","5","11","4.311","http://www.cbssports.com/golf/players/playerpage/399360/paul-casey"
"17","Matt Kuchar","USA","0","4","11","4.064","http://www.cbssports.com/golf/players/playerpage/285325/matt-kuchar"
"18","Charl Schwartzel","SAF","0","3","4","3.982","http://www.cbssports.com/golf/players/playerpage/1194890/charl-schwartzel"
"19","Francesco Molinari","ITA","0","4","11","3.974","http://www.cbssports.com/golf/players/playerpage/1195203/francesco-molinari"
"20","Daniel Berger","USA","1","5","7","3.949","http://www.cbssports.com/golf/players/playerpage/2067161/daniel-berger"
"21","Patrick Reed","USA","0","2","10","3.942","http://www.cbssports.com/golf/players/playerpage/1757897/patrick-reed"
