"PID","CID","PNAME","CNAME","PURL","CURL"
"11","230","Fruits","Fresh Fruits","/departments/11/store/10","/departments/230/store/10"
"11","231","Fruits","Nuts, Seeds & Dried Fruit","/departments/11/store/10","/departments/231/store/10"
"11","232","Fruits","Packaged Fruits","/departments/11/store/10","/departments/232/store/10"
"13","234","Vegetables","Fresh Vegetables","/departments/13/store/10","/departments/234/store/10"
"13","235","Vegetables","Packaged Lettuce","/departments/13/store/10","/departments/235/store/10"
"13","236","Vegetables","Packaged Vegetables","/departments/13/store/10","/departments/236/store/10"
"13","392","Vegetables","Tofu & Meat Alternatives","/departments/13/store/10","/departments/392/store/10"
"15","238","Meat","Poultry Counter","/departments/15/store/10","/departments/238/store/10"
"15","240","Meat","Packaged Poultry","/departments/15/store/10","/departments/240/store/10"
"15","241","Meat","Hot Dogs, Bacon & Sausage","/departments/15/store/10","/departments/241/store/10"
"15","395","Meat","Beef","/departments/15/store/10","/departments/395/store/10"
"15","396","Meat","Lamb","/departments/15/store/10","/departments/396/store/10"
"15","393","Meat","Pork","/departments/15/store/10","/departments/393/store/10"
"15","397","Meat","Poultry","/departments/15/store/10","/departments/397/store/10"
"15","394","Meat","Veal","/departments/15/store/10","/departments/394/store/10"
"16","242","Seafood","Seafood Counter","/departments/16/store/10","/departments/242/store/10"
"16","243","Seafood","Packaged Seafood","/departments/16/store/10","/departments/243/store/10"
"19","244","Deli","Prepared Meals","/departments/19/store/10","/departments/244/store/10"
"19","245","Deli","Lunch Meat","/departments/19/store/10","/departments/245/store/10"
"19","246","Deli","Cold Cuts","/departments/19/store/10","/departments/246/store/10"
"19","247","Deli","Prepared Soups & Salads","/departments/19/store/10","/departments/247/store/10"
"19","248","Deli","Fresh Dips & Tapenades","/departments/19/store/10","/departments/248/store/10"
"20","249","Cheese","Specialty Cheeses","/departments/20/store/10","/departments/249/store/10"
"20","250","Cheese","Packaged Cheese","/departments/20/store/10","/departments/250/store/10"
"23","251","Bakery","Bread","/departments/23/store/10","/departments/251/store/10"
"23","252","Bakery","Tortillas & Flat Bread","/departments/23/store/10","/departments/252/store/10"
"23","253","Bakery","Buns & Rolls","/departments/23/store/10","/departments/253/store/10"
"23","254","Bakery","Breakfast Bakery (muffins, bagels)","/departments/23/store/10","/departments/254/store/10"
"23","255","Bakery","Bakery Desserts","/departments/23/store/10","/departments/255/store/10"
"25","256","Alcohol","Beers & Coolers","/departments/25/store/10","/departments/256/store/10"
"27","257","Dairy & Eggs","Milk","/departments/27/store/10","/departments/257/store/10"
"27","258","Dairy & Eggs","Eggs","/departments/27/store/10","/departments/258/store/10"
"27","259","Dairy & Eggs","Other Creams & Cheeses","/departments/27/store/10","/departments/259/store/10"
"27","260","Dairy & Eggs","Soy & Lactose Free","/departments/27/store/10","/departments/260/store/10"
